"","weekdate","conf_cases","median","threshold"
"184",1989-07-09,11,NA,NA
"185",1989-07-16,6,NA,NA
"186",1989-07-23,6,NA,NA
"187",1989-07-30,27,NA,NA
"188",1989-08-06,32,NA,NA
"189",1989-08-13,44,NA,NA
"190",1989-08-20,44,NA,NA
"191",1989-08-27,54,NA,NA
"192",1989-09-03,71,NA,NA
"193",1989-09-10,59,NA,NA
"194",1989-09-17,36,NA,NA
"195",1989-09-24,60,NA,NA
"196",1989-10-01,63,NA,NA
"197",1989-10-08,77,NA,NA
"198",1989-10-15,116,NA,NA
"199",1989-10-22,91,NA,NA
"200",1989-10-29,87,NA,NA
"201",1989-11-05,79,NA,NA
"202",1989-11-12,86,NA,NA
"203",1989-11-19,86,NA,NA
"204",1989-11-26,105,NA,NA
"205",1989-12-03,120,NA,NA
"206",1989-12-10,95,NA,NA
"207",1989-12-17,59,NA,NA
"208",1989-12-24,55,NA,NA
"209",1990-01-01,58,NA,NA
"210",1990-01-08,45,NA,NA
"211",1990-01-15,48,NA,NA
"212",1990-01-22,43,NA,NA
"213",1990-01-29,36,NA,NA
"214",1990-02-05,33,NA,NA
"215",1990-02-12,20,NA,NA
"216",1990-02-19,15,NA,NA
"217",1990-02-26,18,NA,NA
"218",1990-03-05,13,NA,NA
"219",1990-03-12,19,NA,NA
"220",1990-03-19,21,NA,NA
"221",1990-03-26,13,NA,NA
"222",1990-04-02,19,NA,NA
"223",1990-04-09,3,NA,NA
"224",1990-04-16,9,NA,NA
"225",1990-04-23,1,NA,NA
"226",1990-04-30,5,NA,NA
"227",1990-05-07,5,NA,NA
"228",1990-05-14,5,NA,NA
"229",1990-05-21,3,NA,NA
"230",1990-05-28,7,NA,NA
"231",1990-06-04,2,NA,NA
"232",1990-06-11,4,NA,NA
"233",1990-06-18,6,NA,NA
"234",1990-06-25,12,NA,NA
"235",1990-07-02,5,NA,NA
"236",1990-07-09,10,NA,NA
"237",1990-07-16,5,NA,NA
"238",1990-07-23,8,NA,NA
"239",1990-07-30,21,NA,NA
"240",1990-08-06,41,NA,NA
"241",1990-08-13,43,NA,NA
"242",1990-08-20,47,NA,NA
"243",1990-08-27,46,NA,NA
"244",1990-09-03,50,NA,NA
"245",1990-09-10,55,NA,NA
"246",1990-09-17,69,NA,NA
"247",1990-09-24,56,NA,NA
"248",1990-10-01,69,NA,NA
"249",1990-10-08,70,NA,NA
"250",1990-10-15,83,NA,NA
"251",1990-10-22,71,NA,NA
"252",1990-10-29,91,NA,NA
"253",1990-11-05,135,NA,NA
"254",1990-11-12,84,NA,NA
"255",1990-11-19,91,NA,NA
"256",1990-11-26,100,NA,NA
"257",1990-12-03,96,NA,NA
"258",1990-12-10,64,NA,NA
"259",1990-12-17,53,NA,NA
"260",1990-12-24,42,NA,NA
"261",1991-01-01,34,NA,NA
"262",1991-01-08,38,NA,NA
"263",1991-01-15,42,NA,NA
"264",1991-01-22,34,NA,NA
"265",1991-01-29,44,NA,NA
"266",1991-02-05,24,NA,NA
"267",1991-02-12,21,NA,NA
"268",1991-02-19,25,NA,NA
"269",1991-02-26,20,NA,NA
"270",1991-03-05,22,NA,NA
"271",1991-03-12,23,NA,NA
"272",1991-03-19,19,NA,NA
"273",1991-03-26,21,NA,NA
"274",1991-04-02,20,NA,NA
"275",1991-04-09,15,NA,NA
"276",1991-04-16,26,NA,NA
"277",1991-04-23,16,NA,NA
"278",1991-04-30,19,NA,NA
"279",1991-05-07,15,NA,NA
"280",1991-05-14,17,NA,NA
"281",1991-05-21,14,NA,NA
"282",1991-05-28,17,NA,NA
"283",1991-06-04,22,NA,NA
"284",1991-06-11,22,NA,NA
"285",1991-06-18,16,NA,NA
"286",1991-06-25,18,NA,NA
"287",1991-07-02,20,NA,NA
"288",1991-07-09,18,NA,NA
"289",1991-07-16,22,NA,NA
"290",1991-07-23,25,NA,NA
"291",1991-07-30,34,NA,NA
"292",1991-08-06,68,NA,NA
"293",1991-08-13,73,NA,NA
"294",1991-08-20,86,NA,NA
"295",1991-08-27,82,NA,NA
"296",1991-09-03,80,NA,NA
"297",1991-09-10,80,NA,NA
"298",1991-09-17,109,NA,NA
"299",1991-09-24,119,NA,NA
"300",1991-10-01,172,NA,NA
"301",1991-10-08,137,NA,NA
"302",1991-10-15,178,NA,NA
"303",1991-10-22,164,NA,NA
"304",1991-10-29,172,NA,NA
"305",1991-11-05,179,NA,NA
"306",1991-11-12,160,NA,NA
"307",1991-11-19,172,NA,NA
"308",1991-11-26,203,NA,NA
"309",1991-12-03,183,NA,NA
"310",1991-12-10,130,NA,NA
"311",1991-12-17,88,NA,NA
"312",1991-12-24,80,NA,NA
"313",1992-01-01,74,NA,NA
"314",1992-01-08,111,NA,NA
"315",1992-01-15,106,NA,NA
"316",1992-01-22,104,NA,NA
"317",1992-01-29,59,NA,NA
"318",1992-02-05,55,NA,NA
"319",1992-02-12,67,NA,NA
"320",1992-02-19,45,NA,NA
"321",1992-02-26,48,NA,NA
"322",1992-03-04,75,NA,NA
"323",1992-03-11,50,NA,NA
"324",1992-03-18,43,NA,NA
"325",1992-03-25,33,NA,NA
"326",1992-04-01,34,NA,NA
"327",1992-04-08,35,NA,NA
"328",1992-04-15,34,NA,NA
"329",1992-04-22,34,NA,NA
"330",1992-04-29,36,NA,NA
"331",1992-05-06,35,NA,NA
"332",1992-05-13,34,NA,NA
"333",1992-05-20,33,NA,NA
"334",1992-05-27,36,NA,NA
"335",1992-06-03,30,NA,NA
"336",1992-06-10,42,NA,NA
"337",1992-06-17,53,NA,NA
"338",1992-06-24,46,NA,NA
"339",1992-07-01,58,NA,NA
"340",1992-07-08,53,NA,NA
"341",1992-07-15,55,NA,NA
"342",1992-07-22,66,NA,NA
"343",1992-07-29,76,NA,NA
"344",1992-08-05,76,NA,NA
"345",1992-08-12,61,NA,NA
"346",1992-08-19,106,NA,NA
"347",1992-08-26,97,NA,NA
"348",1992-09-02,98,NA,NA
"349",1992-09-09,94,NA,NA
"350",1992-09-16,100,NA,NA
"351",1992-09-23,86,NA,NA
"352",1992-09-30,85,NA,NA
"353",1992-10-07,81,NA,NA
"354",1992-10-14,108,NA,NA
"355",1992-10-21,91,NA,NA
"356",1992-10-28,87,NA,NA
"357",1992-11-04,107,NA,NA
"358",1992-11-11,77,NA,NA
"359",1992-11-18,67,NA,NA
"360",1992-11-25,95,NA,NA
"361",1992-12-02,92,NA,NA
"362",1992-12-09,76,NA,NA
"363",1992-12-16,79,NA,NA
"364",1992-12-23,71,NA,NA
"365",1993-01-01,65,NA,NA
"366",1993-01-08,67,NA,NA
"367",1993-01-15,58,NA,NA
"368",1993-01-22,62,NA,NA
"369",1993-01-29,66,NA,NA
"370",1993-02-05,70,NA,NA
"371",1993-02-12,50,NA,NA
"372",1993-02-19,31,NA,NA
"373",1993-02-26,25,NA,NA
"374",1993-03-05,32,NA,NA
"375",1993-03-12,31,NA,NA
"376",1993-03-19,21,NA,NA
"377",1993-03-26,15,NA,NA
"378",1993-04-02,15,NA,NA
"379",1993-04-09,10,NA,NA
"380",1993-04-16,17,NA,NA
"381",1993-04-23,16,NA,NA
"382",1993-04-30,20,NA,NA
"383",1993-05-07,27,NA,NA
"384",1993-05-14,14,NA,NA
"385",1993-05-21,15,NA,NA
"386",1993-05-28,28,NA,NA
"387",1993-06-04,36,NA,NA
"388",1993-06-11,15,NA,NA
"389",1993-06-18,25,NA,NA
"390",1993-06-25,22,NA,NA
"391",1993-07-02,35,NA,NA
"392",1993-07-09,29,NA,NA
"393",1993-07-16,30,NA,NA
"394",1993-07-23,40,NA,NA
"395",1993-07-30,37,NA,NA
"396",1993-08-06,26,NA,NA
"397",1993-08-13,39,NA,NA
"398",1993-08-20,40,NA,NA
"399",1993-08-27,23,NA,NA
"400",1993-09-03,40,NA,NA
"401",1993-09-10,44,NA,NA
"402",1993-09-17,38,NA,NA
"403",1993-09-24,35,NA,NA
"404",1993-10-01,49,NA,NA
"405",1993-10-08,44,NA,NA
"406",1993-10-15,57,NA,NA
"407",1993-10-22,69,NA,NA
"408",1993-10-29,75,NA,NA
"409",1993-11-05,76,NA,NA
"410",1993-11-12,79,NA,NA
"411",1993-11-19,59,NA,NA
"412",1993-11-26,49,NA,NA
"413",1993-12-03,64,NA,NA
"414",1993-12-10,39,NA,NA
"415",1993-12-17,53,NA,NA
"416",1993-12-24,44,NA,NA
"417",1994-01-01,32,NA,NA
"418",1994-01-08,47,NA,NA
"419",1994-01-15,39,NA,NA
"420",1994-01-22,51,NA,NA
"421",1994-01-29,51,NA,NA
"422",1994-02-05,48,NA,NA
"423",1994-02-12,34,NA,NA
"424",1994-02-19,41,NA,NA
"425",1994-02-26,45,NA,NA
"426",1994-03-05,37,NA,NA
"427",1994-03-12,34,NA,NA
"428",1994-03-19,33,NA,NA
"429",1994-03-26,21,NA,NA
"430",1994-04-02,32,NA,NA
"431",1994-04-09,23,NA,NA
"432",1994-04-16,22,NA,NA
"433",1994-04-23,20,NA,NA
"434",1994-04-30,22,NA,NA
"435",1994-05-07,26,NA,NA
"436",1994-05-14,13,NA,NA
"437",1994-05-21,35,NA,NA
"438",1994-05-28,50,NA,NA
"439",1994-06-04,49,NA,NA
"440",1994-06-11,56,NA,NA
"441",1994-06-18,61,NA,NA
"442",1994-06-25,102,NA,NA
"443",1994-07-02,132,NA,NA
"444",1994-07-09,109,NA,NA
"445",1994-07-16,107,NA,NA
"446",1994-07-23,124,NA,NA
"447",1994-07-30,165,NA,NA
"448",1994-08-06,139,NA,NA
"449",1994-08-13,133,NA,NA
"450",1994-08-20,170,NA,NA
"451",1994-08-27,144,NA,NA
"452",1994-09-03,197,NA,NA
"453",1994-09-10,142,NA,NA
"454",1994-09-17,187,NA,NA
"455",1994-09-24,208,NA,NA
"456",1994-10-01,214,NA,NA
"457",1994-10-08,252,NA,NA
"458",1994-10-15,292,NA,NA
"459",1994-10-22,222,NA,NA
"460",1994-10-29,169,NA,NA
"461",1994-11-05,165,NA,NA
"462",1994-11-12,141,NA,NA
"463",1994-11-19,214,NA,NA
"464",1994-11-26,202,NA,NA
"465",1994-12-03,184,NA,NA
"466",1994-12-10,150,NA,NA
"467",1994-12-17,115,NA,NA
"468",1994-12-24,111,NA,NA
"469",1995-01-01,115,NA,NA
"470",1995-01-08,95,NA,NA
"471",1995-01-15,98,NA,NA
"472",1995-01-22,92,NA,NA
"473",1995-01-29,56,NA,NA
"474",1995-02-05,57,NA,NA
"475",1995-02-12,39,NA,NA
"476",1995-02-19,31,NA,NA
"477",1995-02-26,21,NA,NA
"478",1995-03-05,35,NA,NA
"479",1995-03-12,13,NA,NA
"480",1995-03-19,27,NA,NA
"481",1995-03-26,23,NA,NA
"482",1995-04-02,20,NA,NA
"483",1995-04-09,21,NA,NA
"484",1995-04-16,10,NA,NA
"485",1995-04-23,8,NA,NA
"486",1995-04-30,10,NA,NA
"487",1995-05-07,10,NA,NA
"488",1995-05-14,9,NA,NA
"489",1995-05-21,13,NA,NA
"490",1995-05-28,13,NA,NA
"491",1995-06-04,28,NA,NA
"492",1995-06-11,21,NA,NA
"493",1995-06-18,38,NA,NA
"494",1995-06-25,45,NA,NA
"495",1995-07-02,30,NA,NA
"496",1995-07-09,27,NA,NA
"497",1995-07-16,32,NA,NA
"498",1995-07-23,30,NA,NA
"499",1995-07-30,52,NA,NA
"500",1995-08-06,59,NA,NA
"501",1995-08-13,57,NA,NA
"502",1995-08-20,47,NA,NA
"503",1995-08-27,37,NA,NA
"504",1995-09-03,43,NA,NA
"505",1995-09-10,62,NA,NA
"506",1995-09-17,56,NA,NA
"507",1995-09-24,47,NA,NA
"508",1995-10-01,57,NA,NA
"509",1995-10-08,48,NA,NA
"510",1995-10-15,53,NA,NA
"511",1995-10-22,63,NA,NA
"512",1995-10-29,68,NA,NA
"513",1995-11-05,58,NA,NA
"514",1995-11-12,43,NA,NA
"515",1995-11-19,50,NA,NA
"516",1995-11-26,38,NA,NA
"517",1995-12-03,33,NA,NA
"518",1995-12-10,27,NA,NA
"519",1995-12-17,26,NA,NA
"520",1995-12-24,27,NA,NA
"521",1996-01-01,34,NA,NA
"522",1996-01-08,25,NA,NA
"523",1996-01-15,40,NA,NA
"524",1996-01-22,26,NA,NA
"525",1996-01-29,35,NA,NA
"526",1996-02-05,34,NA,NA
"527",1996-02-12,24,NA,NA
"528",1996-02-19,21,NA,NA
"529",1996-02-26,26,NA,NA
"530",1996-03-04,24,NA,NA
"531",1996-03-11,19,NA,NA
"532",1996-03-18,12,NA,NA
"533",1996-03-25,20,NA,NA
"534",1996-04-01,11,NA,NA
"535",1996-04-08,17,NA,NA
"536",1996-04-15,15,NA,NA
"537",1996-04-22,10,NA,NA
"538",1996-04-29,8,NA,NA
"539",1996-05-06,9,NA,NA
"540",1996-05-13,6,NA,NA
"541",1996-05-20,4,NA,NA
"542",1996-05-27,13,NA,NA
"543",1996-06-03,2,NA,NA
"544",1996-06-10,8,NA,NA
"545",1996-06-17,9,NA,NA
"546",1996-06-24,14,NA,NA
"547",1996-07-01,19,NA,NA
"548",1996-07-08,22,NA,NA
"549",1996-07-15,20,NA,NA
"550",1996-07-22,30,NA,NA
"551",1996-07-29,36,NA,NA
"552",1996-08-05,34,NA,NA
"553",1996-08-12,50,NA,NA
"554",1996-08-19,56,NA,NA
"555",1996-08-26,53,NA,NA
"556",1996-09-02,41,NA,NA
"557",1996-09-09,56,NA,NA
"558",1996-09-16,68,NA,NA
"559",1996-09-23,64,NA,NA
"560",1996-09-30,56,NA,NA
"561",1996-10-07,66,NA,NA
"562",1996-10-14,60,NA,NA
"563",1996-10-21,61,NA,NA
"564",1996-10-28,90,NA,NA
"565",1996-11-04,77,NA,NA
"566",1996-11-11,69,NA,NA
"567",1996-11-18,72,NA,NA
"568",1996-11-25,76,NA,NA
"569",1996-12-02,50,NA,NA
"570",1996-12-09,68,NA,NA
"571",1996-12-16,60,NA,NA
"572",1996-12-23,50,NA,NA
"573",1997-01-01,40,NA,NA
"574",1997-01-08,45,NA,NA
"575",1997-01-15,59,NA,NA
"576",1997-01-22,35,NA,NA
"577",1997-01-29,46,NA,NA
"578",1997-02-05,30,NA,NA
"579",1997-02-12,28,NA,NA
"580",1997-02-19,29,NA,NA
"581",1997-02-26,28,NA,NA
"582",1997-03-05,23,NA,NA
"583",1997-03-12,16,NA,NA
"584",1997-03-19,13,NA,NA
"585",1997-03-26,16,NA,NA
"586",1997-04-02,14,NA,NA
"587",1997-04-09,12,NA,NA
"588",1997-04-16,22,NA,NA
"589",1997-04-23,16,NA,NA
"590",1997-04-30,11,NA,NA
"591",1997-05-07,13,NA,NA
"592",1997-05-14,15,NA,NA
"593",1997-05-21,6,NA,NA
"594",1997-05-28,10,NA,NA
"595",1997-06-04,16,NA,NA
"596",1997-06-11,10,NA,NA
"597",1997-06-18,12,NA,NA
"598",1997-06-25,16,NA,NA
"599",1997-07-02,15,NA,NA
"600",1997-07-09,16,NA,NA
"601",1997-07-16,15,NA,NA
"602",1997-07-23,10,NA,NA
"603",1997-07-30,37,NA,NA
"604",1997-08-06,30,NA,NA
"605",1997-08-13,32,NA,NA
"606",1997-08-20,53,NA,NA
"607",1997-08-27,60,NA,NA
"608",1997-09-03,93,NA,NA
"609",1997-09-10,80,NA,NA
"610",1997-09-17,64,NA,NA
"611",1997-09-24,63,NA,NA
"612",1997-10-01,64,NA,NA
"613",1997-10-08,88,NA,NA
"614",1997-10-15,87,NA,NA
"615",1997-10-22,127,NA,NA
"616",1997-10-29,135,NA,NA
"617",1997-11-05,103,NA,NA
"618",1997-11-12,75,NA,NA
"619",1997-11-19,71,NA,NA
"620",1997-11-26,77,NA,NA
"621",1997-12-03,84,NA,NA
"622",1997-12-10,100,NA,NA
"623",1997-12-17,92,NA,NA
"624",1997-12-24,92,NA,NA
"625",1998-01-01,93,NA,NA
"626",1998-01-08,94,NA,NA
"627",1998-01-15,97,NA,NA
"628",1998-01-22,79,NA,NA
"629",1998-01-29,100,NA,NA
"630",1998-02-05,117,NA,NA
"631",1998-02-12,124,NA,NA
"632",1998-02-19,99,NA,NA
"633",1998-02-26,81,NA,NA
"634",1998-03-05,106,NA,NA
"635",1998-03-12,71,NA,NA
"636",1998-03-19,76,NA,NA
"637",1998-03-26,67,NA,NA
"638",1998-04-02,64,NA,NA
"639",1998-04-09,64,NA,NA
"640",1998-04-16,50,NA,NA
"641",1998-04-23,67,NA,NA
"642",1998-04-30,68,NA,NA
"643",1998-05-07,66,NA,NA
"644",1998-05-14,71,NA,NA
"645",1998-05-21,75,NA,NA
"646",1998-05-28,83,NA,NA
"647",1998-06-04,97,NA,NA
"648",1998-06-11,118,NA,NA
"649",1998-06-18,131,NA,NA
"650",1998-06-25,153,NA,NA
"651",1998-07-02,188,NA,NA
"652",1998-07-09,192,NA,NA
"653",1998-07-16,177,NA,NA
"654",1998-07-23,233,NA,NA
"655",1998-07-30,283,NA,NA
"656",1998-08-06,236,NA,NA
"657",1998-08-13,212,NA,NA
"658",1998-08-20,161,NA,NA
"659",1998-08-27,149,NA,NA
"660",1998-09-03,97,NA,NA
"661",1998-09-10,39,NA,NA
"662",1998-09-17,46,NA,NA
"663",1998-09-24,65,NA,NA
"664",1998-10-01,80,NA,NA
"665",1998-10-08,99,NA,NA
"666",1998-10-15,84,NA,NA
"667",1998-10-22,70,NA,NA
"668",1998-10-29,76,NA,NA
"669",1998-11-05,59,NA,NA
"670",1998-11-12,70,NA,NA
"671",1998-11-19,77,NA,NA
"672",1998-11-26,92,NA,NA
"673",1998-12-03,67,NA,NA
"674",1998-12-10,71,NA,NA
"675",1998-12-17,80,NA,NA
"676",1998-12-24,65,NA,NA
"677",1999-01-01,60,NA,NA
"678",1999-01-08,57,NA,NA
"679",1999-01-15,67,NA,NA
"680",1999-01-22,79,NA,NA
"681",1999-01-29,52,NA,NA
"682",1999-02-05,52,NA,NA
"683",1999-02-12,47,NA,NA
"684",1999-02-19,35,NA,NA
"685",1999-02-26,41,NA,NA
"686",1999-03-05,43,NA,NA
"687",1999-03-12,30,NA,NA
"688",1999-03-19,13,NA,NA
"689",1999-03-26,16,NA,NA
"690",1999-04-02,24,NA,NA
"691",1999-04-09,10,NA,NA
"692",1999-04-16,16,NA,NA
"693",1999-04-23,21,NA,NA
"694",1999-04-30,14,NA,NA
"695",1999-05-07,11,NA,NA
"696",1999-05-14,14,NA,NA
"697",1999-05-21,24,NA,NA
"698",1999-05-28,16,NA,NA
"699",1999-06-04,12,NA,NA
"700",1999-06-11,16,NA,NA
"701",1999-06-18,14,NA,NA
"702",1999-06-25,10,NA,NA
"703",1999-07-02,22,NA,NA
"704",1999-07-09,17,NA,NA
"705",1999-07-16,19,NA,NA
"706",1999-07-23,17,NA,NA
"707",1999-07-30,31,NA,NA
"708",1999-08-06,31,NA,NA
"709",1999-08-13,41,NA,NA
"710",1999-08-20,47,NA,NA
"711",1999-08-27,27,NA,NA
"712",1999-09-03,25,NA,NA
"713",1999-09-10,51,NA,NA
"714",1999-09-17,65,NA,NA
"715",1999-09-24,66,NA,NA
"716",1999-10-01,54,NA,NA
"717",1999-10-08,59,NA,NA
"718",1999-10-15,38,NA,NA
"719",1999-10-22,51,NA,NA
"720",1999-10-29,71,NA,NA
"721",1999-11-05,50,NA,NA
"722",1999-11-12,46,NA,NA
"723",1999-11-19,49,NA,NA
"724",1999-11-26,43,NA,NA
"725",1999-12-03,50,NA,NA
"726",1999-12-10,32,NA,NA
"727",1999-12-17,26,NA,NA
"728",1999-12-24,25,NA,NA
"729",2000-01-01,20,42.3055555555556,68.3888888888889
"730",2000-01-08,20,39.1111111111111,63.9166666666667
"731",2000-01-15,26,36.25,60.2222222222222
"732",2000-01-22,20,33.5833333333333,56.8611111111111
"733",2000-01-29,24,31.0833333333333,53.7222222222222
"734",2000-02-05,10,28.3611111111111,50.6944444444444
"735",2000-02-12,9,25.9444444444444,47.0277777777778
"736",2000-02-19,9,23.4166666666667,43.1388888888889
"737",2000-02-26,8,21.1944444444444,39.6388888888889
"738",2000-03-04,4,19.1666666666667,36.5833333333333
"739",2000-03-11,5,17.2222222222222,33.6111111111111
"740",2000-03-18,8,15.7222222222222,30.7222222222222
"741",2000-03-25,3,14.5,28.3611111111111
"742",2000-04-01,1,13.5833333333333,26.6111111111111
"743",2000-04-08,4,12.6944444444444,25.0555555555556
"744",2000-04-15,4,12.0833333333333,23.9722222222222
"745",2000-04-22,3,11.7777777777778,23.5833333333333
"746",2000-04-29,3,11.8333333333333,23.75
"747",2000-05-06,2,12.0833333333333,24.3611111111111
"748",2000-05-13,2,12.4444444444444,25.3888888888889
"749",2000-05-20,0,13.1388888888889,27.2222222222222
"750",2000-05-27,4,14.2222222222222,29.8888888888889
"751",2000-06-03,4,15.5555555555556,33.0277777777778
"752",2000-06-10,2,17.0277777777778,36.4166666666667
"753",2000-06-17,5,18.7222222222222,40.3055555555556
"754",2000-06-24,5,20.9722222222222,45.0555555555556
"755",2000-07-01,9,23.5555555555556,50.0555555555556
"756",2000-07-08,2,26.25,54.8888888888889
"757",2000-07-15,9,29.3055555555556,60.0555555555556
"758",2000-07-22,4,32.7222222222222,65.4722222222222
"759",2000-07-29,7,36.4444444444444,70.7777777777778
