"","weekdate","conf_cases","median","threshold"
"1",1986-01-01,0,NA,NA
"2",1986-01-08,1,NA,NA
"3",1986-01-15,1,NA,NA
"4",1986-01-22,0,NA,NA
"5",1986-01-29,0,NA,NA
"6",1986-02-05,0,NA,NA
"7",1986-02-12,0,NA,NA
"8",1986-02-19,0,NA,NA
"9",1986-02-26,0,NA,NA
"10",1986-03-05,0,NA,NA
"11",1986-03-12,1,NA,NA
"12",1986-03-19,0,NA,NA
"13",1986-03-26,0,NA,NA
"14",1986-04-02,1,NA,NA
"15",1986-04-09,0,NA,NA
"16",1986-04-16,0,NA,NA
"17",1986-04-23,0,NA,NA
"18",1986-04-30,0,NA,NA
"19",1986-05-07,1,NA,NA
"20",1986-05-14,1,NA,NA
"21",1986-05-21,0,NA,NA
"22",1986-05-28,0,NA,NA
"23",1986-06-04,0,NA,NA
"24",1986-06-11,0,NA,NA
"25",1986-06-18,1,NA,NA
"26",1986-06-25,1,NA,NA
"27",1986-07-02,3,NA,NA
"28",1986-07-09,2,NA,NA
"29",1986-07-16,2,NA,NA
"30",1986-07-23,1,NA,NA
"31",1986-07-30,1,NA,NA
"32",1986-08-06,2,NA,NA
"33",1986-08-13,1,NA,NA
"34",1986-08-20,4,NA,NA
"35",1986-08-27,5,NA,NA
"36",1986-09-03,11,NA,NA
"37",1986-09-10,17,NA,NA
"38",1986-09-17,16,NA,NA
"39",1986-09-24,8,NA,NA
"40",1986-10-01,8,NA,NA
"41",1986-10-08,18,NA,NA
"42",1986-10-15,12,NA,NA
"43",1986-10-22,1,NA,NA
"44",1986-10-29,0,NA,NA
"45",1986-11-05,0,NA,NA
"46",1986-11-12,0,NA,NA
"47",1986-11-19,2,NA,NA
"48",1986-11-26,2,NA,NA
"49",1986-12-03,3,NA,NA
"50",1986-12-10,4,NA,NA
"51",1986-12-17,1,NA,NA
"52",1986-12-24,0,NA,NA
"53",1987-01-01,5,NA,NA
"54",1987-01-08,7,NA,NA
"55",1987-01-15,14,NA,NA
"56",1987-01-22,12,NA,NA
"57",1987-01-29,3,NA,NA
"58",1987-02-05,9,NA,NA
"59",1987-02-12,8,NA,NA
"60",1987-02-19,3,NA,NA
"61",1987-02-26,5,NA,NA
"62",1987-03-05,7,NA,NA
"63",1987-03-12,2,NA,NA
"64",1987-03-19,2,NA,NA
"65",1987-03-26,1,NA,NA
"66",1987-04-02,7,NA,NA
"67",1987-04-09,3,NA,NA
"68",1987-04-16,0,NA,NA
"69",1987-04-23,0,NA,NA
"70",1987-04-30,1,NA,NA
"71",1987-05-07,4,NA,NA
"72",1987-05-14,1,NA,NA
"73",1987-05-21,3,NA,NA
"74",1987-05-28,3,NA,NA
"75",1987-06-04,3,NA,NA
"76",1987-06-11,3,NA,NA
"77",1987-06-18,4,NA,NA
"78",1987-06-25,6,NA,NA
"79",1987-07-02,11,NA,NA
"80",1987-07-09,10,NA,NA
"81",1987-07-16,8,NA,NA
"82",1987-07-23,10,NA,NA
"83",1987-07-30,17,NA,NA
"84",1987-08-06,13,NA,NA
"85",1987-08-13,14,NA,NA
"86",1987-08-20,6,NA,NA
"87",1987-08-27,10,NA,NA
"88",1987-09-03,4,NA,NA
"89",1987-09-10,4,NA,NA
"90",1987-09-17,3,NA,NA
"91",1987-09-24,2,NA,NA
"92",1987-10-01,2,NA,NA
"93",1987-10-08,2,NA,NA
"94",1987-10-15,4,NA,NA
"95",1987-10-22,4,NA,NA
"96",1987-10-29,2,NA,NA
"97",1987-11-05,2,NA,NA
"98",1987-11-12,2,NA,NA
"99",1987-11-19,1,NA,NA
"100",1987-11-26,1,NA,NA
"101",1987-12-03,2,NA,NA
"102",1987-12-10,1,NA,NA
"103",1987-12-17,1,NA,NA
"104",1987-12-24,2,NA,NA
"105",1988-01-01,2,NA,NA
"106",1988-01-08,4,NA,NA
"107",1988-01-15,1,NA,NA
"108",1988-01-22,3,NA,NA
"109",1988-01-29,2,NA,NA
"110",1988-02-05,2,NA,NA
"111",1988-02-12,2,NA,NA
"112",1988-02-19,1,NA,NA
"113",1988-02-26,3,NA,NA
"114",1988-03-04,2,NA,NA
"115",1988-03-11,2,NA,NA
"116",1988-03-18,5,NA,NA
"117",1988-03-25,3,NA,NA
"118",1988-04-01,3,NA,NA
"119",1988-04-08,3,NA,NA
"120",1988-04-15,4,NA,NA
"121",1988-04-22,4,NA,NA
"122",1988-04-29,6,NA,NA
"123",1988-05-06,14,NA,NA
"124",1988-05-13,13,NA,NA
"125",1988-05-20,10,NA,NA
"126",1988-05-27,9,NA,NA
"127",1988-06-03,12,NA,NA
"128",1988-06-10,10,NA,NA
"129",1988-06-17,4,NA,NA
"130",1988-06-24,6,NA,NA
"131",1988-07-01,7,NA,NA
"132",1988-07-08,6,NA,NA
"133",1988-07-15,14,NA,NA
"134",1988-07-22,17,NA,NA
"135",1988-07-29,15,NA,NA
"136",1988-08-05,14,NA,NA
"137",1988-08-12,29,NA,NA
"138",1988-08-19,18,NA,NA
"139",1988-08-26,24,NA,NA
"140",1988-09-02,23,NA,NA
"141",1988-09-09,73,NA,NA
"142",1988-09-16,57,NA,NA
"143",1988-09-23,44,NA,NA
"144",1988-09-30,60,NA,NA
"145",1988-10-07,58,NA,NA
"146",1988-10-14,74,NA,NA
"147",1988-10-21,63,NA,NA
"148",1988-10-28,72,NA,NA
"149",1988-11-04,74,NA,NA
"150",1988-11-11,74,NA,NA
"151",1988-11-18,79,NA,NA
"152",1988-11-25,76,NA,NA
"153",1988-12-02,64,NA,NA
"154",1988-12-09,56,NA,NA
"155",1988-12-16,34,NA,NA
"156",1988-12-23,27,NA,NA
"157",1989-01-01,23,NA,NA
"158",1989-01-08,18,NA,NA
"159",1989-01-15,18,NA,NA
"160",1989-01-22,21,NA,NA
"161",1989-01-29,20,NA,NA
"162",1989-02-05,12,NA,NA
"163",1989-02-12,15,NA,NA
"164",1989-02-19,11,NA,NA
"165",1989-02-26,11,NA,NA
"166",1989-03-05,8,NA,NA
"167",1989-03-12,8,NA,NA
"168",1989-03-19,3,NA,NA
"169",1989-03-26,4,NA,NA
"170",1989-04-02,6,NA,NA
"171",1989-04-09,6,NA,NA
"172",1989-04-16,8,NA,NA
"173",1989-04-23,7,NA,NA
"174",1989-04-30,8,NA,NA
"175",1989-05-07,4,NA,NA
"176",1989-05-14,7,NA,NA
"177",1989-05-21,6,NA,NA
"178",1989-05-28,6,NA,NA
"179",1989-06-04,11,NA,NA
"180",1989-06-11,9,NA,NA
"181",1989-06-18,6,NA,NA
"182",1989-06-25,8,NA,NA
"183",1989-07-02,14,NA,NA
