GCODE,municipio,lat,lat_rank,long,long_rank,pop2000,pop_rank,area,area_rank,density,density_rank,centroid_altitude,c_alt_rank,mean_altitude,m_alt_rank,x,y,health_region
29,Guanica,17.985336,4,-66.914971,62,21888,61,96.110642,43,227.7375278,62,5,4,45.53170013,10,148522.6993,216601.3904,Ponce
30,Guayama,17.984137,2,-66.127791,25,44301,22,168.530628,12,262.8661658,53,83,43,257.5339966,56,231702.8437,219296.1722,Ponce
31,Guayanilla,18.038866,11,-66.791684,57,23072,59,109.716676,39,210.2870853,64,100,48,204.5079956,48,162045.7253,222958.0084,Ponce
32,Guaynabo,18.368467,59,-66.114201,23,100053,7,70.259405,63,1424.051342,6,43,22,92.29720306,24,233696.5668,256661.6972,San Juan
33,Gurabo,18.258628,41,-65.977913,17,36743,36,72.108283,59,509.5531119,20,44,25,141.798996,33,247968.5929,247998.2638,Caguas
34,Hatillo,18.443846,73,-66.803096,58,38925,31,108.21644,40,359.6958096,33,86,44,172.3609924,41,161659.3253,263950.2132,Arecibo
35,Hormigueros,18.139108,23,-67.120857,72,16614,71,29.330252,77,566.4458662,13,26,15,41.93719864,8,127972.4702,233470.6895,Mayaguez
36,Humacao,18.149074,24,-65.812856,7,59035,14,115.953866,34,509.1248963,22,47,29,67.43070221,17,265914.0733,234630.6156,Caguas
37,Isabela,18.467536,78,-67.012939,68,44444,21,143.392155,19,309.9472213,41,119,54,152.6049957,35,139535.8741,268378.4022,Aguadilla
38,Jayuya,18.212565,32,-66.592437,51,17318,70,115.483732,35,149.9605157,70,473,74,676.6209717,78,183556.9907,241856.2784,Ponce
39,Juana Diaz,18.03264,10,-66.504197,48,50531,16,156.152398,16,323.600538,39,41,21,180.6549988,42,193497.0981,224125.3892,Ponce
40,Juncos,18.224088,35,-65.913162,14,36452,37,68.857536,64,529.3828696,15,81,42,153.5939941,36,255446.9066,243295.5506,Caguas
41,Lajas,18.017819,8,-67.042267,69,26261,54,155.664389,17,168.7026825,68,11,8,43.09460068,9,135676.4955,219935.6298,Mayaguez
42,Lares,18.274444,43,-66.867619,61,34415,41,159.188026,14,216.1908836,63,377,70,390.8139954,68,154118.0341,248276.987,Arecibo
43,Las Marias,18.239138,38,-66.967683,66,11061,75,120.014547,30,92.16382744,75,300,68,285.4779968,59,141801.04,244742.7347,Mayaguez
44,Las Piedras,18.18744,29,-65.870889,9,34485,40,87.75904,51,392.9509712,30,124,55,220.2830048,50,259651.2203,239293.6029,Caguas
